School_ID,Short_Name,Safety_Level,School_Latitude,School_Longitude,Total_Crimes,Total_Thefts,Total_Batteries,Total_Assaults,Total_Robberies,Total_Weapon_Violations,Total_Homicides,ACT_Score,College_Enrollment_Pct,Graduation_Pct,Level
610384,INFINITY HS,2.0,41.836169,-87.73527800000002,496.0,75.0,106.0,47.0,23.0,8.0,2.0,18.8,58.5,91.6,5.0
610543,SOLORIO HS,3.0,41.795201,-87.71105899999998,1101.0,192.0,204.0,82.0,85.0,10.0,3.0,18.4,62.2,82.7,5.0
610561,CRANE MEDICAL HS,2.0,41.876947,-87.683301,2521.0,596.0,457.0,180.0,164.0,28.0,9.0,18.7,,,4.0
609762,JULIAN HS,2.0,41.705859,-87.653749,791.0,136.0,163.0,69.0,32.0,9.0,4.0,14.7,40.4,71.3,2.0
609715,KELLY HS,1.0,41.818729,-87.694639,1282.0,145.0,315.0,118.0,78.0,22.0,10.0,17.1,55.1,79.2,3.0
609766,VAUGHN HS,3.0,41.960364,-87.764663,890.0,219.0,139.0,61.0,18.0,4.0,,,10.8,20.6,
609741,HUBBARD HS,2.0,41.780526,-87.718014,1146.0,188.0,186.0,78.0,59.0,11.0,2.0,17.1,56.2,82.9,4.0
400145,YCCS - YOUTH CONNECTION,,41.832072,-87.62678100000002,1691.0,423.0,343.0,138.0,122.0,19.0,2.0,13.6,17.6,,
610580,MAGIC JOHNSON - HUMBOLDT PK HS,3.0,41.902925,-87.687889,2671.0,794.0,401.0,165.0,116.0,21.0,3.0,15.4,22.2,,
610524,ALCOTT HS,3.0,41.935795,-87.680562,1230.0,606.0,106.0,62.0,25.0,7.0,,17.6,59.6,81.3,4.0
610558,GOODE HS,1.0,41.75375,-87.70734499999998,726.0,119.0,127.0,49.0,45.0,6.0,2.0,16.6,,92.1,4.0
610394,UPLIFT HS,2.0,41.965547,-87.652473,2377.0,631.0,532.0,197.0,77.0,15.0,7.0,15.6,65.4,58.4,2.0
400176,CAMELOT - EXCEL SOUTHWEST HS,2.0,41.765929,-87.69073,2054.0,305.0,458.0,156.0,101.0,45.0,10.0,13.6,27.3,,
400064,PERSPECTIVES - JOSLIN HS,2.0,41.855999,-87.62853100000002,1434.0,445.0,209.0,86.0,86.0,6.0,1.0,17.5,81.6,94.5,3.0
609730,SENN HS,2.0,41.989029,-87.667136,1372.0,405.0,254.0,84.0,59.0,10.0,,18.3,59.4,85.8,4.0
400010,ACE TECH HS,1.0,41.796122,-87.625849,2414.0,407.0,616.0,223.0,132.0,49.0,22.0,15.2,56.3,67.7,2.0
610391,LINDBLOM HS,3.0,41.782041,-87.671662,2406.0,331.0,543.0,220.0,134.0,52.0,10.0,22.9,83.6,89.3,5.0
610383,SOCIAL JUSTICE HS,2.0,41.833507,-87.735299,285.0,41.0,68.0,34.0,10.0,3.0,,15.6,56.6,77.6,3.0
609748,YORK HS,2.0,41.842533,-87.695261,1182.0,289.0,247.0,87.0,41.0,35.0,7.0,,5.1,,
400105,URBAN PREP - BRONZEVILLE HS,1.0,41.831118,-87.613629,1961.0,614.0,377.0,153.0,123.0,16.0,1.0,16.6,75.0,83.1,2.0
400033,CICS - LONGWOOD,1.0,41.721221,-87.65576800000002,1140.0,269.0,208.0,74.0,74.0,15.0,3.0,15.4,64.9,73.3,3.0
610357,SPRY HS,2.0,41.847762,-87.69894599999998,2259.0,469.0,482.0,189.0,118.0,57.0,8.0,,47.2,83.6,3.0
610389,ORR HS,2.0,41.894449,-87.726166,3141.0,383.0,673.0,247.0,174.0,104.0,20.0,14.2,45.3,46.4,2.0
609746,KENWOOD HS,3.0,41.803772,-87.59042099999998,1527.0,550.0,162.0,95.0,74.0,4.0,2.0,19.2,78.3,86.3,5.0
609725,MORGAN PARK HS,1.0,41.692035,-87.665658,838.0,155.0,186.0,72.0,21.0,25.0,2.0,17.3,66.8,82.6,3.0
400133,YCCS - INNOVATIONS,2.0,41.883047,-87.627734,10105.0,5520.0,976.0,358.0,349.0,14.0,2.0,13.6,24.4,,
610323,BOWEN HS,2.0,41.734627,-87.55755,1879.0,279.0,481.0,180.0,76.0,31.0,8.0,14.6,49.4,61.9,2.0
609718,KENNEDY HS,2.0,41.789961,-87.78084,398.0,70.0,73.0,32.0,2.0,4.0,,18.1,59.5,73.8,3.0
400113,CICS - CHICAGOQUEST HS,2.0,41.907797,-87.645561,2569.0,1231.0,326.0,137.0,63.0,14.0,4.0,16.5,,,3.0
400139,YCCS - SULLIVAN,2.0,41.746287,-87.578492,1633.0,276.0,348.0,152.0,90.0,37.0,8.0,13.1,7.4,,
400097,NOBLE - BULLS HS,3.0,41.878809,-87.678195,2444.0,641.0,427.0,180.0,159.0,21.0,6.0,21.7,84.4,81.9,5.0
400094,EPIC HS,2.0,41.744849,-87.55022199999998,2103.0,238.0,564.0,233.0,84.0,55.0,7.0,17.5,72.7,74.3,4.0
400055,NOBLE - RAUNER HS,3.0,41.892425,-87.660859,2059.0,981.0,166.0,69.0,105.0,2.0,3.0,20.9,77.2,83.8,5.0
400061,PERSPECTIVES - LEADERSHIP HS,1.0,41.745961,-87.652045,2913.0,466.0,680.0,286.0,111.0,104.0,13.0,16.8,53.2,80.3,3.0
400143,YCCS - WEST TOWN,,41.89080300000001,-87.702053,2061.0,341.0,432.0,161.0,118.0,40.0,7.0,13.2,8.3,,
609722,MANLEY HS,1.0,41.870939,-87.699896,3079.0,374.0,693.0,280.0,149.0,105.0,18.0,14.1,35.9,43.3,1.0
609719,LAKE VIEW HS,2.0,41.954764,-87.668953,932.0,360.0,81.0,35.0,23.0,,,17.5,65.7,88.2,4.0
