,School ID,Year,Composite
426,609736,2002,13.3
427,609736,2003,14.1
428,609736,2004,15.0
429,609736,2005,14.4
430,609736,2006,14.4
431,609736,2007,14.4
432,609736,2008,14.4
433,609736,2009,14.2
434,609736,2010,14.4
435,609736,2011,14.1
436,609736,2012,14.7
437,609736,2013,13.9
438,609736,2014,14.1
439,400094,2012,16.3
440,400094,2013,16.0
441,400094,2014,16.3
442,400094,2015,17.4
443,400094,2016,17.5
444,609704,2001,14.0
445,609704,2002,14.5
446,609704,2003,14.2
447,609704,2004,14.4
448,609704,2005,15.4
449,609704,2006,15.5
450,609704,2007,15.9
451,609704,2008,15.7
452,609704,2009,15.3
453,609704,2010,15.4
454,609704,2011,16.0
455,609704,2012,15.9
456,609704,2013,15.6
457,609704,2014,15.8
458,609704,2015,15.5
459,609704,2016,15.2
460,609705,2001,13.6
461,609705,2002,13.8
462,609705,2003,14.1
463,609705,2004,14.2
464,609705,2005,14.2
465,609705,2006,14.5
466,609705,2007,13.8
467,609705,2008,14.0
468,609705,2009,13.4
469,609705,2010,14.3
470,609705,2011,14.0
471,609705,2012,14.1
472,609705,2013,14.3
473,609705,2014,14.4
474,609705,2015,14.4
475,609705,2016,14.7
476,400042,2011,15.1
477,400042,2012,14.0
478,400042,2013,16.3
479,400042,2014,17.2
480,609708,2001,14.5
481,609708,2002,14.7
482,609708,2003,14.2
483,609708,2004,14.5
484,609708,2005,15.1
485,609708,2006,15.0
486,609708,2007,15.0
487,609708,2008,14.9
488,609708,2009,15.0
489,609708,2010,14.8
490,609708,2011,15.3
491,609708,2012,15.4
492,609708,2013,15.0
493,609708,2014,15.9
494,609708,2015,16.1
495,609708,2016,15.3
496,609709,2001,14.1
497,609709,2002,14.1
498,609709,2003,14.2
499,609709,2004,14.2
500,609709,2005,14.5
501,609709,2006,14.2
502,609709,2007,15.1
503,609709,2008,14.8
504,609709,2009,14.7
505,609709,2010,14.6
506,609709,2011,14.0
507,609709,2012,15.0
508,609709,2013,15.0
509,609709,2014,15.5
510,609709,2015,15.3
511,609709,2016,14.4
512,610558,2015,18.3
513,610558,2016,16.6
514,609694,2001,16.4
515,609694,2002,16.9
516,609694,2003,16.9
517,609694,2004,16.8
518,609694,2005,16.9
519,609694,2006,16.6
520,609694,2007,14.3
521,609694,2008,15.4
522,609694,2009,15.4
523,609694,2010,15.8
524,609694,2011,15.8
525,609694,2012,16.9
526,609694,2013,16.5
527,609694,2014,17.2
528,609694,2015,16.8
529,609694,2016,16.9
530,609710,2001,13.4
531,609710,2002,14.0
532,609710,2003,14.1
533,609710,2004,15.1
534,609710,2005,14.9
535,609710,2006,14.9
536,609710,2007,15.1
537,609710,2008,14.9
538,609710,2009,14.4
539,609710,2010,14.7
540,609710,2011,14.7
541,609710,2012,15.1
542,609710,2013,14.9
543,609710,2014,15.4
544,609710,2015,15.0
545,609710,2016,15.2
546,609711,2001,13.0
547,609711,2002,13.3
548,609711,2003,13.7
549,609711,2004,13.6
550,609711,2005,13.9
551,609711,2006,13.8
552,609711,2007,14.1
553,609711,2008,14.1
554,609711,2009,14.1
555,609711,2010,14.2
556,609711,2011,14.5
