'Name','Address','Zipcode','Science','Math','English','College','Progress'
'Sc School For The Blind High','355 Cedar Springs Road, Spartanburg, SC 29302','29302','','','','',''
'Sc School For The Deaf High','355 Cedar Springs Road, Spartanburg, SC 29302','29302','','','','',''
'Phoenix School At Southwest School','3333 Bering Drive, Houston, TX 77057','77057','67%','47%','38%','4',''
'Barnum School Extended School Year','3675 County Road 140, Barnum, MN 55707','55707','','','','',''
'Academy Of Charter Schools','11800 Lowell Boulevard, Westminster, CO 80031','80031','38%','38%','54%','8',''
'Gusty Michael School','Stony, Stony River, AK 99557','99557','','','','',''
'Tatitlek Community School','Main St, Tatitlek, AK 99677','99677','','','','',''
'Whittier Community School','Portage St, Whittier, AK 99693','99693','','10%','33%','',''
'Chenega Bay School','Main St, Chenega Bay, AK 99574','99574','','','','',''
'Brennen School (The)','144 Brennen Drive, Newark, DE 19713','19713','','','','1',''
'Victory Charter School','1081 E Lewis Lane, Nampa, ID 83686','83686','84%','66%','82%','',''
'Xavier Charter School','1218 North College Road West, Twin Falls, ID 83301','83301','65%','54%','71%','',''
'Florence Sawyer School','100 Mechanic Street, Bolton, MA 01740','01740','63%','81%','85%','',''
'Limestone Community School','93 High St, Limestone, ME 04750','04750','','','','',''
'Metro Deaf School','1471 Brewster St, Saint Paul, MN 55108','55108','','','','',''
'Ray Brooks School','1827 Hwy 1, Benoit, MS 38725','38725','','31%','13%','',''
'Carson Elementary School','4323 Glenway Ave, Cincinnati, OH 45205','45205','52%','23%','','',''
'Roll Hill School','2411 Baltimore Ave, Cincinnati, OH 45225','45225','38%','27%','','',''
'Southwest Preparatory School','1258 Austin Highway, San Antonio, TX 78209','78209','26%','24%','','',''
'Treetops School International','12500 South Pipeline Road, Euless, TX 76040','76040','84%','81%','89%','6',''
'Alpha Charter School','701 West State Street, Garland, TX 75040','75040','','','15%','',''
'Lighthouse Charter School','2718 Frontier Drive, San Antonio, TX 78227','78227','74%','73%','','',''
'Priority Charter Schools-Heritage','275 Farm to Market Road 2483, Morgan's Point Resort, TX 76513','76513','75%','65%','','',''
'Village Tech Schools','1010 E. Parkerville Road, Cedar Hill, TX 75104','75104','68%','60%','66%','',''
'Special Ed School','2929 Mcdougall Ave, Enumclaw, WA 98022','98022','','','','',''
'Sequim Community School','220 West Alder, Sequim, WA 98382','98382','67%','43%','57%','',''
'Special Ed School','502 4th St Ne, Auburn, WA 98002','98002','','','','',''
'Flambeau Charter School','N4540 County Road I, Tony, WI 54563','54563','','','','',''
'St Paul School','930 Tolstoi, St. Paul, AK 99660','99660','17%','16%','19%','',''
'Crow Village Sam School','Chuathbaluk, Chuathbaluk, AK 99557','99557','','13%','13%','',''
'Johnnie John Sr. School','Crooked Creek, Crooked Creek, AK 99575','99575','','9%','9%','',''
'Jack Egnaty Sr. School','Sleetmute, Sleetmute, AK 99668','99668','','','','',''
'Capital Preparatory Magnet School','950 Main St, Hartford, CT 06103','06103','','17%','29%','1',''
'Kent County Community School','65-1 Carver Road, Dover, DE 19904','19904','','','','2',''
'Leach (John G.) School','10 Landers Lane, New Castle, DE 19720','19720','','','','',''
'Compass Public Charter School','2511 West Cherry Lane, Meridian, ID 83642','83642','','79%','79%','',''
'Thomas Jefferson Charter School','1209 Adam Smith Ave, Caldwell, ID 83605','83605','86%','70%','80%','',''
'Idaho Arts Charter School','1220 5th Street North, Nampa, ID 83687','83687','68%','47%','65%','',''
'Evanston Academy Elementary School','3060 Durrell Ave, Cincinnati, OH 45207','45207','12%','45%','','',''
'Mt. Airy Elementary School','5730 Colerain Ave, Cincinnati, OH 45239','45239','21%','38%','','',''
'Special Education Service School','2445 3rd Av, Seattle, WA 98124','98124','','','','',''
'Arlington Special Educ School','315 North French Ave, Arlington, WA 98223','98223','','','','',''
'South Branch Vocational School','401 Pierpont St, Petersburg, WV 26847','26847','','','','',''
'Akula Elitnaurvik School','100 Akula Heights, Kasigluk, AK 99609','99609','0%','3%','0%','',''
'Qugcuun Memorial School','115 Village Rd, Napaskiak, AK 99559','99559','','9%','0%','',''
'Rocky Mountain School','121 Village Rd, Goodnews Bay, AK 99589','99589','','4%','4%','',''
'Akiuk Memorial School','104 Village Rd, Kasigluk, AK 99609','99609','','2%','2%','',''
'Hooper Bay School','General Delivery, Hooper Bay, AK 99604','99604','7%','1%','1%','',''
'Russian Mission School','90 School Rd, Russian Mission, AK 99657','99657','8%','2%','4%','',''
'Pilot Station School','5090 School Rd, Pilot Station, AK 99650','99650','3%','2%','2%','',''
'Scammon Bay School','General Delivery, Scammon Bay, AK 99662','99662','2%','4%','0%','',''
'Sheldon Point School','32 School Rd, Sheldon Point, AK 99666','99666','0%','3%','0%','',''
'Koyuk-Malimiut School','09 Main St, Koyuk, AK 99753','99753','33%','7%','9%','',''
'White Mountain School','55 Main St, White Mountain, AK 99784','99784','','24%','19%','',''
'Brevig Mission School','Main St, Brevig Mission, AK 99785','99785','4%','0%','1%','',''
'Dot Lake School','Mp 1361 Ak Hwy, Dot Lake, AK 99737','99737','','','','',''
'Eagle Community School','168 3rd Ave, Eagle, AK 99738','99738','','39%','31%','',''
'Mentasta Lake School','6 Mile Main Village Rd, Mentasta Lake, AK 99780','99780','18%','10%','5%','',''
'Walter Northway School','Mile 7 Village Rd, Northway, AK 99764','99764','20%','0%','11%','',''
'Kenny Lake School','Mile 5 Edgerton Hwy, Copper Center, AK 99573','99573','82%','50%','60%','',''
'Hydaburg Correspondence School',', Hydaburg, AK 99922','99922','','','','',''
'Klawock City School','100 Bayview Blvd, Klawock, AK 99925','99925','29%','28%','15%','',''
'Innoko River School','90 Chinana Ave, Shageluk, AK 99665','99665','','','','',''
