School_ID,Short_Name,Safety_Level,School_Latitude,School_Longitude
609769,GRAHAM HS,3.0,41.849675,-87.625315
610402,DEVRY HS,5.0,41.941388,-87.690761
400172,ASPIRA - BUSINESS & FINANCE HS,3.0,41.935726,-87.718204
609732,STEINMETZ HS,1.0,41.935634,-87.78351500000001
609692,SIMEON HS,2.0,41.745781,-87.63541
400150,YCCS - CHATHAM,3.0,41.730131,-87.60698000000001
610547,SOUTH SHORE INTL HS,2.0,41.758792,-87.576353
609735,TILDEN HS,2.0,41.80751,-87.642966
609754,CHICAGO MILITARY HS,2.0,41.830555,-87.61921600000001
400124,YCCS - MCKINLEY,1.0,41.841331,-87.625331
609678,JONES HS,4.0,41.873065999999994,-87.627675
609728,ROOSEVELT HS,1.0,41.964828000000004,-87.71481899999999
609713,HYDE PARK HS,1.0,41.782257,-87.58661500000001
400134,YCCS - ADDAMS,5.0,41.857208,-87.644888
400036,CHICAGO VIRTUAL,4.0,41.88055,-87.649772
609693,WESTINGHOUSE HS,3.0,41.889977,-87.707332
610386,PEACE AND EDUCATION HS,2.0,41.803515000000004,-87.667378
609710,HARLAN HS,1.0,41.718371999999995,-87.620623
400087,YOUNG WOMENS HS,1.0,41.844544,-87.618724
400141,YCCS - TRUMAN,2.0,41.965295000000005,-87.659239
609720,LANE TECH HS,3.0,41.946645000000004,-87.691013
610564,DISNEY II HS,2.0,41.952488,-87.72136400000001
609680,PAYTON HS,4.0,41.901575,-87.635385
400127,YCCS - AUSTIN CAREER,2.0,41.894976,-87.760221
609761,CORLISS HS,2.0,41.70666,-87.60121600000001
610529,OGDEN HS,2.0,41.893547999999996,-87.659405
609755,YOUNG HS,4.0,41.878603000000005,-87.664233
610390,RICKOVER MILITARY HS,2.0,41.989021,-87.665789
609704,FARRAGUT HS,1.0,41.84856,-87.708706
609676,DUNBAR HS,1.0,41.840226,-87.617637
400077,U OF C - WOODLAWN HS,1.0,41.77813,-87.598114
400171,FOUNDATIONS,1.0,41.694671,-87.65353499999999
610557,PATHWAYS - ASHBURN HS,4.0,41.735239,-87.70406
400179,NOBLE - MANSUETO HS,,41.800136,-87.728003
400051,NOBLE - NOBLE HS,3.0,41.900191,-87.662628
400169,NOBLE - ITW SPEER HS,3.0,41.92563,-87.769808
400156,NOBLE - BUTLER HS,3.0,41.706666999999996,-87.60257299999999
400126,YCCS - ASSOCIATION HOUSE,2.0,41.901571999999994,-87.70685999999999
400085,ACERO - GARCIA HS,3.0,41.809171,-87.730467
400149,ACERO - SOTO HS,2.0,41.801762,-87.711025
400164,INSTITUTO - LOZANO MASTERY HS,2.0,41.845957,-87.685903
400022,CHIARTS HS,3.0,41.899377,-87.69494499999999
400129,YCCS - PROGRESSIVE LEADERSHIP,2.0,41.773962,-87.61574
610565,CAMELOT - EXCEL ENGLEWOOD HS,2.0,41.763896,-87.649124
400147,CAMELOT - EXCEL HS,3.0,41.691953000000005,-87.654248
610573,CAMELOT - SAFE HS,,41.753115,-87.551804
400137,LITTLE BLACK PEARL HS,,41.809695,-87.59934
400170,NOBLE - ACADEMY HS,3.0,41.906878999999996,-87.645577
609723,MARSHALL HS,3.0,41.878444,-87.70805
